game_id,player_count,seat,character,score,is_winner,total_steps
1,2,0,pendingin,5,1,45
1,2,1,rakus,0,0,45
2,2,0,baja,8,0,39
2,2,1,pendingin,10,1,39
3,2,0,rakus,0,0,45
3,2,1,kompor,5,1,45
4,2,0,baja,13,1,42
4,2,1,rakus,0,0,42
5,2,0,hemat,10,1,45
5,2,1,rakus,5,0,45
6,2,0,perisai,171,1,53
6,2,1,baja,48,0,53
7,2,0,hemat,10,1,46
7,2,1,rakus,0,0,46
8,2,0,rakus,0,0,38
8,2,1,perisai,5,1,38
9,2,0,pendingin,0,0.5,47
9,2,1,baja,0,0.5,47
10,2,0,kompor,0,0,56
10,2,1,hemat,10,1,56
11,2,0,perisai,5,0,48
11,2,1,pendingin,10,1,48
12,2,0,pendingin,5,1,50
12,2,1,baja,0,0,50
13,2,0,hemat,63,1,55
13,2,1,rakus,0,0,55
14,2,0,hemat,0,0,50
14,2,1,pendingin,5,1,50
15,2,0,perisai,0,0,40
15,2,1,rakus,5,1,40
16,2,0,kompor,150,1,44
16,2,1,rakus,5,0,44
17,2,0,baja,1,0,52
17,2,1,perisai,6,1,52
18,2,0,rakus,10,1,37
18,2,1,kompor,9,0,37
19,2,0,rakus,0,0.5,46
19,2,1,perisai,0,0.5,46
20,2,0,pendingin,0,0.5,41
20,2,1,kompor,0,0.5,41
21,2,0,perisai,0,0,39
21,2,1,pendingin,10,1,39
22,2,0,hemat,10,1,47
22,2,1,kompor,0,0,47
23,2,0,baja,0,0.5,44
23,2,1,kompor,0,0.5,44
24,2,0,baja,21,1,48
24,2,1,rakus,7,0,48
25,2,0,kompor,10,0.5,42
25,2,1,perisai,10,0.5,42
26,2,0,rakus,5,0,33
26,2,1,kompor,10,1,33
27,2,0,kompor,10,1,48
27,2,1,baja,0,0,48
28,2,0,perisai,0,0,36
28,2,1,rakus,9,1,36
29,2,0,kompor,0,0,41
29,2,1,perisai,5,1,41
30,2,0,hemat,20,1,56
30,2,1,baja,11,0,56
31,2,0,kompor,0,0,43
31,2,1,hemat,14,1,43
32,2,0,perisai,0,0,40
32,2,1,rakus,5,1,40
33,2,0,kompor,0,0,41
33,2,1,pendingin,10,1,41
34,2,0,baja,11,1,56
34,2,1,hemat,0,0,56
35,2,0,pendingin,0,0.5,49
35,2,1,baja,0,0.5,49
36,2,0,pendingin,0,0.5,46
36,2,1,kompor,0,0.5,46
37,2,0,perisai,0,0,41
37,2,1,rakus,14,1,41
38,2,0,kompor,0,0,34
38,2,1,pendingin,5,1,34
39,2,0,hemat,7,0.5,54
39,2,1,rakus,7,0.5,54
40,2,0,rakus,0,0.5,42
40,2,1,baja,0,0.5,42
41,2,0,hemat,5,0,60
41,2,1,pendingin,10,1,60
42,2,0,hemat,48,1,60
42,2,1,perisai,0,0,60
43,2,0,perisai,0,0,45
43,2,1,baja,4,1,45
44,2,0,pendingin,10,0.5,44
44,2,1,baja,10,0.5,44
45,2,0,baja,5,0,53
45,2,1,pendingin,104,1,53
46,2,0,hemat,10,1,45
46,2,1,perisai,0,0,45
47,2,0,kompor,12,0,55
47,2,1,baja,15,1,55
48,2,0,kompor,5,0,43
48,2,1,baja,23,1,43
49,2,0,perisai,5,1,43
49,2,1,rakus,0,0,43
50,2,0,pendingin,0,0,51
50,2,1,baja,5,1,51
51,2,0,hemat,61,1,67
51,2,1,baja,0,0,67
52,2,0,pendingin,0,0,53
52,2,1,hemat,5,1,53
53,2,0,kompor,0,0.5,46
53,2,1,hemat,0,0.5,46
54,2,0,pendingin,0,0.5,50
54,2,1,hemat,0,0.5,50
55,2,0,baja,6,1,47
55,2,1,perisai,5,0,47
56,2,0,perisai,0,0,49
56,2,1,pendingin,90,1,49
57,2,0,hemat,5,0,47
57,2,1,kompor,10,1,47
58,2,0,perisai,0,0,46
58,2,1,rakus,10,1,46
59,2,0,perisai,6,1,47
59,2,1,kompor,5,0,47
60,2,0,pendingin,5,0,41
60,2,1,baja,21,1,41
61,2,0,pendingin,5,0,45
61,2,1,rakus,43,1,45
62,2,0,hemat,4,1,48
62,2,1,kompor,0,0,48
63,2,0,hemat,119,1,53
63,2,1,rakus,14,0,53
64,2,0,pendingin,14,1,45
64,2,1,rakus,5,0,45
65,2,0,rakus,20,1,43
65,2,1,baja,12,0,43
66,2,0,pendingin,8,0,43
66,2,1,kompor,75,1,43
67,2,0,rakus,0,0,47
67,2,1,hemat,5,1,47
68,2,0,kompor,20,1,44
68,2,1,baja,15,0,44
69,2,0,baja,0,0,43
69,2,1,perisai,10,1,43
70,2,0,kompor,5,0,56
70,2,1,baja,16,1,56
71,2,0,perisai,0,0,48
71,2,1,pendingin,79,1,48
72,2,0,perisai,5,0,46
72,2,1,hemat,10,1,46
73,2,0,kompor,0,0,39
73,2,1,pendingin,15,1,39
74,2,0,pendingin,0,0.5,40
74,2,1,kompor,0,0.5,40
75,2,0,perisai,5,0,37
75,2,1,pendingin,14,1,37
76,2,0,rakus,0,0,50
76,2,1,hemat,10,1,50
77,2,0,pendingin,0,0.5,36
77,2,1,rakus,0,0.5,36
78,2,0,pendingin,10,0,44
78,2,1,baja,23,1,44
79,2,0,rakus,0,0,41
79,2,1,perisai,10,1,41
80,2,0,hemat,5,1,62
